Akron
Alabama
Arizona
Arkansas
BYU
Cal Baptist
Clemson
Duke
Florida
Furman
Georgia
Gonzaga
Hawaii
High Point
Hofstra
Houston
Howard
Idaho
Illinois
Iowa
Iowa State
Kansas
Kennesaw State
Kentucky
Lehigh
LIU
Louisville
McNeese
Miami (Florida)
Miami (Ohio)
Michigan
Michigan State
Missouri
Nebraska
NC State
North Carolina
North Dakota State
Northern Iowa
Ohio State
Penn
Prairie View A&M
Purdue
Queens
Saint Louis
Saint Mary's
Santa Clara
Siena
SMU
South Florida
St. John's
TCU
Tennessee
Tennessee State
Texas
Texas A&M
Texas Tech
Troy
UCF
UCLA
UConn
UMBC
Utah State
Vanderbilt
VCU
Villanova
Virginia
Wisconsin
Wright State
